x,y,t,u_true,u_pred
1.000000000000000000e+00,1.093750000000000000e-01,4.335937500000000000e-01,-2.695771605942809401e-08,-4.608938470482826233e-04
0.000000000000000000e+00,8.906250000000000000e-01,5.371093750000000000e-01,0.000000000000000000e+00,-3.868876025080680847e-03
8.906250000000000000e-01,1.000000000000000000e+00,5.058593750000000000e-01,2.607463400750020810e-08,-3.421185538172721863e-04
1.093750000000000000e-01,0.000000000000000000e+00,2.031250000000000000e-01,-0.000000000000000000e+00,4.823529161512851715e-03
7.812500000000000000e-02,0.000000000000000000e+00,7.558593750000000000e-01,-0.000000000000000000e+00,1.987974159419536591e-03
9.218750000000000000e-01,1.000000000000000000e+00,5.820312500000000000e-01,-1.588234255223142100e-08,-1.736360602080821991e-03
0.000000000000000000e+00,9.218750000000000000e-01,8.027343750000000000e-01,-0.000000000000000000e+00,6.710952147841453552e-04
1.000000000000000000e+00,7.812500000000000000e-02,1.367187500000000000e-01,-2.078005678640693077e-08,3.139312379062175751e-03
1.000000000000000000e+00,5.781250000000000000e-01,9.765625000000000000e-01,-7.024028292335060542e-08,-8.216248825192451477e-04
0.000000000000000000e+00,4.218750000000000000e-01,6.640625000000000000e-02,-0.000000000000000000e+00,3.839842975139617920e-06
4.218750000000000000e-01,1.000000000000000000e+00,3.417968750000000000e-01,7.349520103616669076e-08,2.968356013298034668e-03
5.781250000000000000e-01,0.000000000000000000e+00,2.324218750000000000e-01,-0.000000000000000000e+00,-7.658088579773902893e-04
8.281250000000000000e-01,0.000000000000000000e+00,1.718750000000000000e-01,0.000000000000000000e+00,-2.798327244818210602e-03
1.718750000000000000e-01,1.000000000000000000e+00,6.230468750000000000e-01,3.726859532093840244e-08,1.396249048411846161e-03
0.000000000000000000e+00,1.718750000000000000e-01,2.890625000000000000e-01,0.000000000000000000e+00,-2.697573043406009674e-03
1.000000000000000000e+00,8.281250000000000000e-01,3.496093750000000000e-01,4.425604771540747606e-08,2.058259211480617523e-03
1.000000000000000000e+00,3.281250000000000000e-01,1.523437500000000000e-01,-6.632795646055456018e-08,-3.843066282570362091e-03
0.000000000000000000e+00,6.718750000000000000e-01,2.656250000000000000e-01,0.000000000000000000e+00,-9.447755292057991028e-04
6.718750000000000000e-01,1.000000000000000000e+00,4.921875000000000000e-01,7.441082061632187106e-08,3.437492065131664276e-03
3.281250000000000000e-01,0.000000000000000000e+00,6.914062500000000000e-01,0.000000000000000000e+00,-1.591106411069631577e-03
4.531250000000000000e-01,0.000000000000000000e+00,7.773437500000000000e-01,-0.000000000000000000e+00,8.204011246562004089e-04
5.468750000000000000e-01,1.000000000000000000e+00,2.851562500000000000e-01,-8.602012968594863196e-08,4.484395496547222137e-03
0.000000000000000000e+00,5.468750000000000000e-01,7.695312500000000000e-01,-0.000000000000000000e+00,1.987340860068798065e-03
1.000000000000000000e+00,4.531250000000000000e-01,5.917968750000000000e-01,-3.452544561355352926e-08,-1.058811321854591370e-03
1.000000000000000000e+00,9.531250000000000000e-01,9.746093750000000000e-01,-9.961916624945388321e-09,-9.723538532853126526e-04
0.000000000000000000e+00,4.687500000000000000e-02,4.121093750000000000e-01,0.000000000000000000e+00,2.676201984286308289e-04
4.687500000000000000e-02,1.000000000000000000e+00,5.507812500000000000e-01,-1.011656003413463623e-08,-2.773099578917026520e-03
9.531250000000000000e-01,0.000000000000000000e+00,3.281250000000000000e-01,-0.000000000000000000e+00,6.681154482066631317e-04
7.031250000000000000e-01,0.000000000000000000e+00,1.679687500000000000e-01,0.000000000000000000e+00,4.859904758632183075e-03
2.968750000000000000e-01,1.000000000000000000e+00,9.453125000000000000e-01,2.814263311279319169e-08,2.443743869662284851e-04
0.000000000000000000e+00,2.968750000000000000e-01,1.132812500000000000e-01,0.000000000000000000e+00,-7.077007554471492767e-03
1.000000000000000000e+00,7.031250000000000000e-01,8.496093750000000000e-01,-7.013761660346062854e-08,-8.385600522160530090e-04
1.000000000000000000e+00,2.031250000000000000e-01,7.949218750000000000e-01,3.775035040121110796e-08,-3.077519126236438751e-03
0.000000000000000000e+00,7.968750000000000000e-01,9.960937500000000000e-02,-0.000000000000000000e+00,-7.676520384848117828e-03
7.968750000000000000e-01,1.000000000000000000e+00,7.167968750000000000e-01,-4.732556035946799966e-08,1.381560228765010834e-03
2.031250000000000000e-01,0.000000000000000000e+00,9.296875000000000000e-01,-0.000000000000000000e+00,1.155687496066093445e-04
1.406250000000000000e-01,0.000000000000000000e+00,5.839843750000000000e-01,0.000000000000000000e+00,4.835585132241249084e-04
8.593750000000000000e-01,1.000000000000000000e+00,7.578125000000000000e-01,2.356106243439626269e-08,4.222523421049118042e-05
0.000000000000000000e+00,8.593750000000000000e-01,7.031250000000000000e-01,0.000000000000000000e+00,1.456643454730510712e-03
1.000000000000000000e+00,1.406250000000000000e-01,2.246093750000000000e-01,3.178034546635899460e-08,-1.924978569149971008e-04
1.000000000000000000e+00,6.406250000000000000e-01,8.046875000000000000e-01,2.909266072492755484e-08,5.618436262011528015e-04
